#width: 32
p d birth death 
2 0 14.5953 14.499
2 0 14.0237 13.6425
2 0 13.7948 13.5698
2 0 13.5737 13.1427
2 0 13.1713 13.0755
2 0 12.7585 12.5664
2 0 12.8377 12.5145
2 0 13.3173 12.2644
2 0 12.1885 12.1439
2 0 12.6625 12.1153
2 0 12.077 12.0228
2 0 12.19 11.977
2 0 13.2287 11.8278
2 0 12.1903 11.7906
2 0 12.0556 11.6568
2 0 13.8875 11.5576
2 0 11.6905 11.5343
2 0 13.8843 11.5278
2 0 11.7696 11.4827
2 0 12.014 11.4495
2 0 13.5713 11.4378
2 0 11.7484 11.3863
2 0 13.155 11.3719
2 0 11.7871 11.2692
2 0 11.3162 11.2545
2 0 12.0561 11.246
2 0 14.289 11.1906
2 0 11.5569 11.1659
2 0 12.9988 11.1545
2 0 12.1162 11.1357
2 0 12.3885 11.0782
2 0 11.1095 11.0762
2 0 11.2166 11.0328
2 0 11.4079 11.0202
2 0 12.3392 10.9913
2 0 11.4051 10.9778
2 0 11.9688 10.9732
2 0 13.5264 10.9294
2 0 12.6618 10.8925
2 0 12.1115 10.8704
2 0 11.5786 10.8585
2 0 11.1658 10.8474
2 0 12.5074 10.8402
2 0 12.6419 10.8369
2 0 11.5618 10.8048
2 0 11.6122 10.8002
2 0 10.8162 10.7985
2 0 10.7959 10.7778
2 0 10.852 10.7259
2 0 12.3449 10.6973
2 0 11.6346 10.6796
2 0 10.8693 10.6619
2 0 13.5763 10.6571
2 0 11.3106 10.6509
2 0 11.5218 10.6193
2 0 11.5314 10.5506
2 0 10.9162 10.5423
2 0 11.1053 10.531
2 0 12.6301 10.5041
2 0 11.2275 10.4761
2 0 10.999 10.4745
2 0 10.7988 10.4729
2 0 13.0979 10.4045
2 0 10.6001 10.3816
2 0 10.5229 10.3815
2 0 10.4417 10.3492
2 0 10.9756 10.344
2 0 10.3682 10.3199
2 0 13.2209 10.3193
2 0 11.4966 10.3184
2 0 12.5092 10.3039
2 0 12.1441 10.2896
2 0 11.3396 10.269
2 0 10.6049 10.2549
2 0 13.6451 10.2366
2 0 10.21 10.194
2 0 10.4652 10.1933
2 0 10.1945 10.1689
2 0 13.031 10.0774
2 0 11.1536 10.0631
2 0 10.3287 10.0631
2 0 10.5849 10.0628
2 0 11.3235 10.0513
2 0 10.203 10.0369
2 0 10.0971 10.0027
2 0 11.277 9.98863
2 0 10.9017 9.96928
2 0 10.1781 9.96521
2 0 10.0934 9.9583
2 0 10.5094 9.9577
2 0 10.3148 9.95242
2 0 14.9651 9.94447
2 0 10.2964 9.92958
2 0 11.8715 9.91467
2 0 10.4692 9.91019
2 0 11.639 9.88742
2 0 11.2824 9.88065
2 0 12.1967 9.85773
2 0 9.89706 9.81036
2 0 12.29 9.80966
2 0 9.97739 9.80912
2 0 10.0535 9.78645
2 0 10.4167 9.7786
2 0 10.0065 9.76896
2 0 12.3148 9.76089
2 0 10.3385 9.74728
2 0 10.9718 9.74678
2 0 10.6462 9.73846
2 0 10.1254 9.73459
2 0 13.749 9.73244
2 0 10.6546 9.7123
2 0 10.1606 9.70341
2 0 12.3653 9.69943
2 0 9.93773 9.69668
2 0 12.1444 9.67967
2 0 10.3366 9.6775
2 0 10.9653 9.6764
2 0 9.90282 9.67627
2 0 10.3685 9.65711
2 0 10.2625 9.6473
2 0 9.73871 9.6425
2 0 10.4227 9.63054
2 0 10.174 9.62893
2 0 13.0786 9.62157
2 0 13.0223 9.59316
2 0 9.75653 9.58644
2 0 11.2725 9.58331
2 0 10.5894 9.58213
2 0 10.4382 9.58198
2 0 9.80075 9.58171
2 0 9.62523 9.54894
2 0 12.6796 9.54287
2 0 9.6298 9.53423
2 0 9.92289 9.53103
2 0 10.0711 9.51253
2 0 9.55416 9.50647
2 0 10.5468 9.50262
2 0 9.59774 9.50244
2 0 9.57302 9.49526
2 0 10.1113 9.49405
2 0 9.90153 9.48562
2 0 9.95914 9.47725
2 0 10.2749 9.44359
2 0 11.0207 9.44293
2 0 13.8109 9.4348
2 0 9.76499 9.43429
2 0 9.47945 9.43304
2 0 12.1956 9.42901
2 0 9.9523 9.4128
2 0 9.97894 9.40618
2 0 12.5337 9.40557
2 0 9.78251 9.38169
2 0 9.81892 9.38169
2 0 10.2786 9.38126
2 0 9.52308 9.37996
2 0 9.61436 9.37629
2 0 9.59457 9.37476
2 0 10.7082 9.365
2 0 9.7417 9.36204
2 0 10.1569 9.35845
2 0 9.92615 9.34436
2 0 10.6175 9.33846
2 0 10.9805 9.33691
2 0 10.7791 9.33432
2 0 13.6842 9.32927
2 0 9.7602 9.32676
2 0 9.50143 9.32036
2 0 9.31967 9.30894
2 0 9.36075 9.3042
2 0 11.2331 9.28611
2 0 9.93379 9.28529
2 0 9.98762 9.28286
2 0 9.86946 9.27808
2 0 10.3329 9.27776
2 0 10.1847 9.26928
2 0 11.3984 9.26458
2 0 10.7913 9.26131
2 0 10.325 9.25785
2 0 10.8249 9.25449
2 0 9.41647 9.24194
2 0 10.7391 9.2264
2 0 9.93543 9.2263
2 0 10.2356 9.20718
2 0 9.86083 9.20676
2 0 9.31109 9.20129
2 0 9.83741 9.20128
2 0 10.5075 9.20074
2 0 10.3595 9.1947
2 0 11.4275 9.19322
2 0 9.79059 9.18594
2 0 10.8938 9.16878
2 0 9.34743 9.16831
2 0 10.507 9.16758
2 0 13.1913 9.16739
2 0 9.36219 9.16601
2 0 10.668 9.15799
2 0 10.6974 9.14943
2 0 9.36847 9.14685
2 0 11.0169 9.14302
2 0 9.14795 9.14265
2 0 9.83331 9.14126
